,timestamp,plant_id,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,object_in_frame,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
1294,2024-08-11 11:30:01,3,True,3056.0,500911.0,0.006100884189007628,278053.06573688984,960,824,917.6170225099357,"(907.5680628272252, 1282.2369109947645)",24,True,"(888.55224609375, 1279.25927734375)",861.4126586914062,737.4424438476562,85.07410430908203,0.5168350769462865
1295,2024-08-11 11:30:01,17,True,3028.0,457739.5,0.006615116239695285,280976.11781191826,880,768,867.6018672179077,"(3616.054821664465, 859.3041611624835)",25,True,"(3615.094970703125, 862.9580078125)",817.1919555664062,703.1725463867188,70.12228393554688,0.5094941136577903
1296,2024-08-11 11:30:01,20,False,1535.0,242595.0,0.006327418124858303,169749.80518198013,760,368,704.9007022269165,"(3700.0169381107494, 2360.2651465798044)",21,False,"(3707.524658203125, 2411.17431640625)",754.1553344726562,382.85980224609375,93.8134536743164,0.8615533541374115
1297,2024-08-11 11:30:01,5,False,1791.0,259009.0,0.006914817631819743,177503.8704559803,808,392,814.3003131523407,"(900.0591848129536, 2353.575097710776)",23,False,"(904.8912353515625, 2395.021484375)",822.3773803710938,356.9223937988281,96.13676452636719,0.9009066546930687
1298,2024-08-11 11:30:01,10,True,93.0,2602.0,0.03574173712528824,1264.7123626470566,72,50,68.62215385719105,"(2163.6451612903224, 2557.3978494623657)",11,True,"(2147.0576171875, 2606.56396484375)",150.1461181640625,71.02533721923828,16.33846092224121,0.8810401738993521
1299,2024-08-11 11:30:01,1,False,1651.0,352769.5,0.0046801098167500305,175690.58758747578,744,608,815.9883577600847,"(999.5081768625075, 320.8619018776499)",22,False,"(945.5072021484375, 216.79107666015625)",829.1615600585938,582.1194458007812,149.53944396972656,0.7121198406719212
1300,2024-08-12 17:00:01,18,True,3173.0,456555.0,0.006949874604374062,305498.29601967335,856,696,844.7751180047859,"(3732.4881815316735, 1371.8584935392373)",26,True,"(3739.03466796875, 1391.10693359375)",843.150146484375,623.630859375,96.21550750732422,0.6729984449505434
1301,2024-08-12 17:00:01,1,False,1703.0,344947.0,0.004936990320252097,176272.19058203697,760,624,827.7161349158297,"(1010.9119201409278, 329.8860833822666)",23,False,"(921.6895751953125, 138.90475463867188)",984.6842651367188,569.6905517578125,147.47947692871094,0.8156458605994238
1302,2024-08-12 17:00:01,16,False,2303.0,425583.5,0.005411394003761894,255447.67420732975,856,608,821.5850534180864,"(3622.209292227529, 321.60356057316545)",19,False,"(3644.809326171875, 314.9110107421875)",815.2757568359375,579.1680297851562,90.15167236328125,0.7038029416010538
1303,2024-08-12 17:00:01,19,True,3106.0,426449.0,0.007283403173650308,305704.11961758137,880,608,946.9556483806409,"(3766.5981970379908, 2013.461365099807)",30,True,"(3775.7861328125, 2021.88037109375)",826.4972534179688,569.1326904296875,95.89178466796875,0.7251337160226579
